"ecommerce (Network: Slow 4G, CPU: 4x throttling slowdown)",Performance,Accessibility,First Contentful Paint (s),Largest Contentful Paint (s),Total Blocking Time (ms),Cumulative Layout Shift,Speed Index (s)
Home,89,100,1.4,1.4,0,0,1.7
,94,100,1.2,1.2,0,0,1.4
,90,100,1.4,1.4,0,0,1.6
,93,100,1.2,1.2,0,0,1.5
,89,100,1.4,1.4,0,0,1.8
,94,100,1.1,1.1,0,0,1.3
,90,100,1.4,1.4,0,0,1.7
,92,100,1.3,1.3,0,0,1.5
,93,100,1.2,1.2,0,0,1.5
,94,100,1.2,1.2,0,0,1.4
Average,91.8,100,1.28,1.28,0,0,1.54
,,,,,,,
,,,,,,,
Sales,90,100,1.1,1.6,10,0.058,1.6
,89,100,1.2,1.6,30,0.058,1.6
,84,100,1.4,2,50,0.058,1.9
,82,100,1.5,2,0,0.058,2
,90,100,1.2,1.6,20,0.058,1.6
,86,100,1.3,1.8,40,0.058,1.8
,83,100,1.4,1.9,0,0.058,1.9
,91,100,1.1,1.5,20,0.058,1.5
,87,100,1.2,1.7,30,0.058,1.7
,90,100,1.1,1.6,0,0.058,1.6
Average,87.2,100,1.25,1.73,20,0.058,1.72
,,,,,,,
,,,,,,,
Cart ,93,100,1.3,1.3,0,0,1.3
,93,100,1.3,1.3,0,0,1.3
,95,100,1.2,1.2,0,0,1.2
,94,100,1.2,1.2,0,0,1.2
,92,100,1.3,1.3,0,0,1.3
,93,100,1.3,1.3,0,0,1.3
,93,100,1.3,1.3,0,0,1.3
,93,100,1.3,1.3,0,0,1.3
,89,100,1.5,1.5,0,0,1.5
,93,100,1.2,1.2,0,0,1.2
Average,92.8,100,1.29,1.29,0,0,1.29
,,,,,,,
,,,,,,,
Contact,95,100,1.2,1.2,0,0,1.2
,93,100,1.3,1.3,0,0,1.3
,95,100,1.2,1.2,0,0,1.2
,94,100,1.2,1.2,0,0,1.2
,87,100,1.6,1.6,0,0,1.6
,96,100,1.1,1.1,0,0,1.1
,93,100,1.3,1.3,0,0,1.3
,92,100,1.3,1.3,0,0,1.3
,95,100,1.2,1.2,0,0,1.2
,94,100,1.2,1.2,0,0,1.2
Average,93.4,100,1.26,1.26,0,0,1.26
,,,,,,,
,,,,,,,
Login,95,100,1.1,1.1,0,0,1.1
,94,100,1.2,1.2,0,0,1.2
,95,100,1.2,1.2,0,0,1.2
,92,100,1.3,1.3,0,0,1.3
,93,100,1.3,1.3,0,0,1.3
,96,100,1.1,1.1,0,0,1.1
,94,100,1.2,1.2,0,0,1.2
,95,100,1.1,1.1,0,0,1.1
,94,100,1.2,1.2,0,0,1.2
,96,100,1.1,1.1,0,0,1.1
Average,94.4,100,1.18,1.18,0,0,1.18
,,,,,,,
,,,,,,,
Register,95,100,1.2,1.2,0,0,1.2
,93,100,1.2,1.2,0,0,1.2
,93,100,1.3,1.3,0,0,1.3
,94,100,1.2,1.2,0,0,1.2
,89,100,1.5,1.5,0,0,1.5
,85,100,1.7,1.7,0,0,1.7
,94,100,1.2,1.2,0,0,1.2
,94,100,1.2,1.2,0,0,1.2
,94,100,1.2,1.2,0,0,1.2
,93,100,1.3,1.3,0,0,1.3
Average,92.4,100,1.3,1.3,0,0,1.3
,,,,,,,
,,,,,,,
Checkout,96,100,1.1,1.1,0,0,1.1
,96,100,1.1,1.1,0,0,1.1
,95,100,1.1,1.1,0,0,1.1
,93,100,1.3,1.3,0,0,1.3
,95,100,1.1,1.1,0,0,1.1
,96,100,1.1,1.1,0,0,1.1
,96,100,1.1,1.1,0,0,1.1
,93,100,1.2,1.2,0,0,1.2
,93,100,1.2,1.2,0,0,1.2
,94,100,1.2,1.2,0,0,1.2
Average,94.7,100,1.15,1.15,0,0,1.15
,,,,,,,
,,,,,,,
Product Details,87,100,1.1,1.9,0,0.038,1.7
,86,100,1.1,2,0,0.038,1.8
,89,100,1.1,1.8,0,0.038,1.6
,87,100,1.2,1.9,0,0.038,1.7
,78,100,1.8,2.2,0,0.038,2.1
,88,100,1.2,1.8,0,0.038,1.6
,83,100,1.3,2.1,0,0.038,1.9
,85,100,1.2,2.1,0,0.038,1.8
,90,100,1.1,1.7,0,0.038,1.5
,83,100,1.3,2.1,0,0.038,1.9
Average,85.6,100,1.24,1.96,0,0.038,1.76
,,,,,,,
,,,,,,,
Profile,88,100,1.6,1.6,0,0,1.6
,94,100,1.2,1.2,0,0,1.2
,94,100,1.2,1.2,0,0,1.2
,95,100,1.1,1.1,0,0,1.1
,95,100,1.2,1.2,0,0,1.2
,95,100,1.1,1.1,0,0,1.1
,92,100,1.4,1.4,0,0,1.3
,94,100,1.2,1.2,0,0,1.2
,93,100,1.3,1.3,0,0,1.3
,93,100,1.3,1.3,0,0,1.3
Average,93.3,100,1.26,1.26,0,0,1.25
