ID,Start time,Completion time,Email,Name,Last modified time,Provided ID,Occupation,Educational Background,Which one did you test ?,1. The links and buttons at the top of the page in the navigation menu are clear and readable.,2. It is easy to navigate the site using only a keyboard (without a mouse).,3. The text and buttons on the product cards are easy to read.,"4. I receive a small, modern notification when adding or removing an item from the cart.",5. I notice the product is duplicated in the cart after adding it twice.,"6. When I fill out a form incorrectly, I receive meaningful error messages.",7. I experienced smooth and fluid scrolling while browsing the product list on the Home and Sales pages.  ,"8. The mouse cursor changes to a hand icon when hovering over links and buttons, making it clear they are clickable.",9. The checkboxes were appropriately sized and easy to click.,10.  The search results update instantly as I type.,11. The website's background makes it easy to maintain visual focus on the products.,12. Product images fit their frames proportionally without unnecessary white space.,13. The system responds immediately when applying filters on products.,14. The system responds immediately when sorting products by category.,"15. Overall, the application feels modern and responsive."
109,04/07/2026 15:50:18,04/07/2026 15:54:46,anonymous,,,STD49,Student,Civilingenjör i AI och Maskininlärning,Ecommerce,4. Agree,2. Disagree ,4. Agree,1. Strongly Disagree ,1. Strongly Disagree ,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,2. Disagree ,5. Strongly Agree,3. Neutral,5. Strongly Agree,2. Disagree ,5. Strongly Agree,4. Agree
110,04/07/2026 15:50:21,04/07/2026 15:54:48,anonymous,,,STD50,,Civiligenjör inom AI och Maskininlärning ,Ecommerce,4. Agree,4. Agree,4. Agree,2. Disagree ,1. Strongly Disagree ,2. Disagree ,5. Strongly Agree,4. Agree,2. Disagree ,5. Strongly Agree,3. Neutral,4. Agree,5. Strongly Agree,4. Agree,4. Agree
111,04/07/2026 15:54:58,04/07/2026 15:56:59,anonymous,,,STD50,,Civiligenjör inom AI och Maskininlärning ,Shop,1. Strongly Disagree ,4. Agree,2. Disagree ,4. Agree,2. Disagree ,3. Neutral,4. Agree,4. Agree,2. Disagree ,4. Agree,4. Agree,3. Neutral,3. Neutral,4. Agree,4. Agree
112,04/07/2026 15:55:01,04/07/2026 15:57:44,anonymous,,,STD49,Student,Civilingenjör i AI och Maskininlärninh,Shop,2. Disagree ,2. Disagree ,2. Disagree ,1. Strongly Disagree ,5. Strongly Agree,1. Strongly Disagree ,4. Agree,1. Strongly Disagree ,1. Strongly Disagree ,3. Neutral,4. Agree,2. Disagree ,4. Agree,4. Agree,2. Disagree 
180,04/09/2026 14:02:15,04/09/2026 14:07:44,anonymous,,,std88,Student,Master,Ecommerce,4. Agree,4. Agree,5. Strongly Agree,2. Disagree ,1. Strongly Disagree ,2. Disagree ,5. Strongly Agree,2. Disagree ,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree
181,04/09/2026 14:07:47,04/09/2026 14:11:36,anonymous,,,STD88,Student,Master,Shop,1. Strongly Disagree ,4. Agree,2. Disagree ,5. Strongly Agree,5. Strongly Agree,2. Disagree ,5. Strongly Agree,1. Strongly Disagree ,1. Strongly Disagree ,4. Agree,4. Agree,2. Disagree ,5. Strongly Agree,3. Neutral,4. Agree
182,04/09/2026 14:01:54,04/09/2026 14:12:31,anonymous,,,Std87,Student,Computer science ,Ecommerce,4. Agree,3. Neutral,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree
183,04/09/2026 14:12:48,04/09/2026 14:16:02,anonymous,,,Std87,Student,CS,Shop,2. Disagree ,3. Neutral,2. Disagree ,1. Strongly Disagree ,2. Disagree ,1. Strongly Disagree ,3. Neutral,2. Disagree ,2. Disagree ,3. Neutral,1. Strongly Disagree ,1. Strongly Disagree ,3. Neutral,4. Agree,3. Neutral
184,04/09/2026 14:16:15,04/09/2026 14:20:39,anonymous,,,Std89,,Energy-efficient and environmental building design,Ecommerce,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,3. Neutral,4. Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,3. Neutral,4. Agree
185,04/09/2026 14:20:54,04/09/2026 14:23:30,anonymous,,,Std89,,Energy-efficient and environmental building design,Shop,3. Neutral,5. Strongly Agree,3. Neutral,2. Disagree ,4. Agree,4. Agree,4. Agree,1. Strongly Disagree ,2. Disagree ,4. Agree,3. Neutral,4. Agree,4. Agree,3. Neutral,4. Agree
