"ecommerce (Network: Slow 4G, CPU: 4x throttling slowdown)",Performance,Accessibility,First Contentful Paint (s),Largest Contentful Paint (s),Total Blocking Time (ms),Cumulative Layout Shift,Speed Index (s)
Home,35,29,2.4,3.8,1130,0,3.1
,47,29,1.8,3.2,570,0,2.5
,45,29,2.7,3.9,400,0,3.3
,37,29,1.6,3.2,350,0,2.3
,42,29,2,3.6,640,0,2.7
,46,29,1.8,5.6,400,0,2.9
,63,29,1.8,3.4,210,0,2.5
,34,29,2.3,4.2,1160,0,3.1
,39,29,2.1,3.7,830,0,2.8
,48,29,1.6,3.4,580,0,2.4
Average,43.6,29,2.01,3.8,627,0,2.76
,,,,,,,
,,,,,,,
Sales,77,29,1.5,1.6,270,0,1.8
,67,29,1.8,1.8,360,0,2
,76,29,1.5,1.6,280,0,1.8
,73,29,1.6,1.6,290,0,1.9
,67,29,1.5,1.3,450,0,1.9
,76,29,1.5,1.5,300,0,1.8
,69,29,1.6,1.7,360,0,1.9
,75,29,1.6,1.6,280,0,1.9
,75,29,1.4,4.5,330,0,1.7
,62,29,1.7,1.8,480,0,2.2
Average,71.7,29,1.57,1.9,340,0,1.89
,,,,,,,
,,,,,,,
Cart ,91,29,1.4,1.4,0,0,1.4
,95,29,1.1,1.1,0,0,1.1
,96,29,1.1,1.1,0,0,1.1
,96,29,1.1,1.1,0,0,1.1
,96,29,1,1,0,0,1.1
,93,29,1.3,1.3,0,0,1.3
,97,29,1,1,0,0,1
,97,29,1,1,0,0,1
,94,29,1.2,1.2,0,0,1.2
,97,29,1,1,0,0,1
Average,95.2,29,1.12,1.12,0,0,1.13
,,,,,,,
,,,,,,,
Contact,97,29,1,1,0,0,1
,96,29,1.1,1.1,0,0,1.1
,96,29,1.1,1.1,0,0,1.1
,96,29,1.1,1.1,0,0,1.1
,93,29,1.3,1.3,0,0,1.3
,95,29,1.1,1.1,0,0,1.1
,96,29,1.1,1.1,0,0,1.1
,97,29,1,1,0,0,1
,97,29,1,1,0,0,1
,90,29,1.5,1.5,0,0,1.5
Average,95.3,29,1.13,1.13,0,0,1.13
,,,,,,,
,,,,,,,
Login,88,29,1.6,1.6,0,0,1.6
,91,29,1.4,1.4,0,0,1.4
,96,29,1.1,1.1,0,0,1.1
,95,29,1.1,1.1,0,0,1.1
,97,29,1,1,0,0,1
,91,29,1.4,1.4,0,0,1.4
,90,29,1.4,1.4,0,0,1.4
,90,29,1.4,1.4,0,0,1.4
,94,29,1.2,1.2,0,0,1.2
,96,29,1.1,1.1,0,0,1.1
Average,92.8,29,1.27,1.27,0,0,1.27
,,,,,,,
,,,,,,,
Register,94,41,1.2,1.2,0,0,1.2
,95,41,1.1,1.1,0,0,1.1
,94,41,1.2,1.2,0,0,1.2
,93,41,1.3,1.3,0,0,1.3
,95,41,1.1,1.1,0,0,1.1
,97,41,1,1,0,0,1
,96,41,1.1,1.1,0,0,1.1
,96,41,1.1,1.1,0,0,1.1
,96,41,1.1,1.1,0,0,1.1
,94,41,1.2,1.2,0,0,1.2
Average,95,41,1.14,1.14,0,0,1.14
,,,,,,,
,,,,,,,
Checkout,91,29,1.4,1.4,0,0,1.4
,96,29,1.1,1.1,0,0,1.1
,93,29,1.3,1.3,0,0,1.3
,94,29,1.2,1.2,0,0,1.2
,96,29,1.1,1.1,0,0,1.1
,97,29,1,1,0,0,1
,96,29,1.1,1,0,0,1.1
,98,29,0.9,0.9,0,0,0.9
,82,29,1.9,1.9,0,0,1.9
,96,29,1.1,1.1,0,0,1.1
Average,93.9,29,1.21,1.2,0,0,1.21
,,,,,,,
,,,,,,,
Product Details,85,29,1.3,2.1,0,0,1.5
,89,29,1.2,1.8,0,0,1.3
,85,29,1.3,2.1,0,0,1.5
,90,29,1.1,1.8,0,0,1.3
,87,29,1.3,1.9,0,0,1.4
,92,29,1.1,1.6,0,0,1.2
,87,29,1.2,1.9,0,0,1.4
,90,29,1.1,1.8,0,0,1.3
,88,29,1.2,1.8,0,0,1.4
,91,29,1.1,1.7,0,0,1.2
Average,88.4,29,1.19,1.85,0,0,1.35
,,,,,,,
,,,,,,,
Profile,91,29,1.3,1.4,0,0,1.3
,93,29,1.2,1.4,0,0,1.2
,91,29,1.3,1.5,0,0,1.3
,95,29,1,1.2,0,0,1.1
,95,29,1.1,1.2,0,0,1.1
,93,29,1.2,1.4,0,0,1.2
,95,29,1.1,1.2,0,0,1.1
,89,29,1.4,1.6,0,0,1.4
,87,29,1.5,1.7,0,0,1.5
,94,29,1.1,1.3,0,0,1.1
Average,92.3,29,1.22,1.39,0,0,1.23
