ID,Start time,Completion time,Email,Name,Last modified time,Provided ID,Occupation,Educational Background,Which one did you test ?,1. The links and buttons at the top of the page in the navigation menu are clear and readable.,2. It is easy to navigate the site using only a keyboard (without a mouse).,3. The text and buttons on the product cards are easy to read.,"4. I receive a small, modern notification when adding or removing an item from the cart.",5. I notice the product is duplicated in the cart after adding it twice.,"6. When I fill out a form incorrectly, I receive meaningful error messages.",7. I experienced smooth and fluid scrolling while browsing the product list on the Home and Sales pages.  ,"8. The mouse cursor changes to a hand icon when hovering over links and buttons, making it clear they are clickable.",9. The checkboxes were appropriately sized and easy to click.,10.  The search results update instantly as I type.,11. The website's background makes it easy to maintain visual focus on the products.,12. Product images fit their frames proportionally without unnecessary white space.,13. The system responds immediately when applying filters on products.,14. The system responds immediately when sorting products by category.,"15. Overall, the application feels modern and responsive."
12,04/06/2026 10:38:20,04/06/2026 10:42:25,anonymous,,,Std01,Student,Software Engineering ,Shop,2. Disagree ,2. Disagree ,2. Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,2. Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,2. Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree 
13,04/06/2026 10:42:43,04/06/2026 10:44:47,anonymous,,,Std01,Student,Software Engineering ,Ecommerce,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
14,04/06/2026 11:17:44,04/06/2026 11:22:09,anonymous,,,Std02,Student,Civil AI,Shop,3. Neutral,3. Neutral,2. Disagree ,2. Disagree ,4. Agree,3. Neutral,3. Neutral,2. Disagree ,1. Strongly Disagree ,3. Neutral,2. Disagree ,2. Disagree ,3. Neutral,3. Neutral,2. Disagree 
15,04/06/2026 11:24:35,04/06/2026 11:27:15,anonymous,,,std02,Student ,Civil AI,Ecommerce,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree
16,04/06/2026 11:29:32,04/06/2026 11:34:34,anonymous,,,Std03,Student ,Industriell economic ,Shop,2. Disagree ,4. Agree,2. Disagree ,5. Strongly Agree,5. Strongly Agree,3. Neutral,4. Agree,3. Neutral,2. Disagree ,4. Agree,2. Disagree ,4. Agree,4. Agree,4. Agree,2. Disagree 
17,04/06/2026 11:29:34,04/06/2026 11:35:08,anonymous,,,Std04,Student,Industrial economics,Shop,3. Neutral,4. Agree,3. Neutral,3. Neutral,3. Neutral,4. Agree,4. Agree,2. Disagree ,2. Disagree ,5. Strongly Agree,2. Disagree ,3. Neutral,4. Agree,4. Agree,1. Strongly Disagree 
18,04/06/2026 11:34:40,04/06/2026 11:38:06,anonymous,,,Std03,Student,Industrial economics ,Ecommerce,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neutral,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree
19,04/06/2026 11:35:11,04/06/2026 11:38:16,anonymous,,,Std04,Student ,Industrial economics,Ecommerce,5. Strongly Agree,2. Disagree ,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
20,04/06/2026 11:39:38,04/06/2026 11:44:50,anonymous,,,STD05,Student ,Software Engineer,Shop,1. Strongly Disagree ,2. Disagree ,1. Strongly Disagree ,2. Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,2. Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,2. Disagree ,1. Strongly Disagree 
21,04/06/2026 11:46:19,04/06/2026 11:49:10,anonymous,,,STD05,Student,Student ,Ecommerce,4. Agree,3. Neutral,5. Strongly Agree,3. Neutral,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree
